Longitude,Latitude,D_Middle School,Rooms,Halls,Area,Orientation,Renovation,Floor_Position,Total_Floors,Building_Type,D_Hospital,D_Subway Station,D_Primary_School,Price
120.6020945,31.34944615,2770.269674,3,2,130.04,2,1,3,28,1,1073.331177,11.55133546,162.0978905,400
120.6238979,31.36417122,1653.425045,4,2,101.16,2,1,2,11,3,1838.194396,1031.119365,1267.603431,310
120.7419946,31.38265028,2979.791036,3,2,87.95,2,1,1,6,1,3153.358294,2410.962864,2979.791036,269
120.7430958,31.63234954,1742.950117,2,2,96.49,2,1,2,24,3,1547.754681,5410.406958,1501.322021,295
120.6652248,31.32178123,1144.972611,3,2,103.82,2,1,3,6,1,1447.755416,599.2074006,1261.418094,316
120.7474984,31.34084498,3063.683568,3,2,117.01,2,1,3,34,3,1420.413515,676.1288305,2864.412663,355
120.4266711,31.35010949,2104.532907,4,2,143.6,2,1,2,11,1,1339.381101,10147.45139,189.476633,435
120.7630349,31.33931236,3187.343862,3,2,108.39,2,2,3,33,3,2572.493553,0,2653.272381,328
120.6150678,31.27847116,595.1477882,3,2,89.79,2,1,3,32,1,211.4793075,75.218225,228.6063911,269.9
120.6020945,31.34944615,2770.269674,3,2,129.82,2,1,1,30,1,1073.331177,11.55133546,162.0978905,390
120.4160735,31.35285927,2578.28246,3,1,97.76,2,1,3,26,1,303.5340679,11064.33137,1231.304394,293
120.7247882,31.37365208,1148.696997,3,1,132.84,2,3,3,14,1,1238.623057,1629.27503,1148.696997,398
120.4160735,31.35285927,2578.28246,4,2,133.08,2,1,3,26,1,303.5340679,11064.33137,1231.304394,398
120.539882,31.37772091,1212.071939,4,2,143.15,2,1,3,10,1,6758.743994,778.6392464,969.8679309,428
120.6144983,31.32035728,661.4843525,2,1,51.95,2,2,1,2,0,1187.538083,808.6909335,619.0323381,155
120.7630349,31.33931236,3187.343862,3,2,98.93,2,1,2,12,1,2572.493553,0,2653.272381,295
120.7608732,31.32488342,1717.308292,3,2,136.91,2,1,3,25,1,1063.256311,318.4636109,1065.268333,408
120.6258653,31.14373298,5760.394335,4,2,142.95,2,1,2,11,1,1559.342877,924.6054763,1062.400715,425
120.5543504,31.32230426,1225.531957,3,1,87.3,2,1,1,22,1,572.7455238,1780.781339,1067.207951,259
120.747263,31.30015084,461.4275314,3,2,111.33,2,1,1,18,3,2515.190095,582.264375,461.4275314,330
120.6350212,31.79383456,2813.2691,3,2,87.89,2,3,2,20,1,3171.079138,10988.47445,7367.863804,260
120.5877538,31.19219256,1285.51991,3,2,113.4,2,1,1,17,3,2525.203567,420.7457077,1549.571623,335
120.6009521,31.93684203,5581.179314,2,1,61.03,2,2,2,6,0,5466.974206,12015.56712,1511.808531,180
120.747263,31.30015084,461.4275314,3,2,115.52,2,1,1,18,3,2515.190095,582.264375,461.4275314,340
120.6238979,31.36417122,1653.425045,4,2,101.65,2,1,3,10,3,1838.194396,1031.119365,1267.603431,299
120.7630349,31.33931236,3187.343862,2,2,88.16,2,1,3,32,3,2572.493553,0,2653.272381,259
120.7570026,31.31889981,989.3806119,2,2,86.67,2,1,3,33,1,884.564585,509.5283324,312.3017742,254
120.939739,31.3769309,1752.970892,4,2,140.01,2,3,3,11,3,2403.242989,1880.185049,1724.232333,410
120.7247882,31.37365208,1148.696997,3,2,144.06,1,1,2,14,1,1238.623057,1629.27503,1148.696997,420
120.5527124,31.28644499,1589.955934,2,2,85.78,2,1,3,33,1,634.5615938,1471.630291,708.575454,250
120.6287063,31.3409106,1269.859302,3,2,99.58,2,1,1,23,1,2029.828669,1267.922512,509.1159913,290
120.6150678,31.27847116,595.1477882,3,2,89.33,2,1,3,32,1,211.4793075,75.218225,228.6063911,260
120.5329471,31.28297797,2097.99026,4,2,136.88,2,1,3,34,1,276.2340447,536.640153,997.5613319,398
120.6863756,31.29201742,2135.443817,2,2,84.87,2,2,3,6,1,1032.671641,1275.605002,920.9498881,245
120.7247882,31.37365208,1148.696997,2,2,83.02,2,1,2,6,1,1238.623057,1629.27503,1148.696997,239
120.580813,31.31131988,1587.004266,3,1,57.34,2,1,1,7,3,1399.315073,1074.339284,134.9419201,165
120.969868,31.39017186,1670.895061,2,1,47,2,2,2,5,2,254.548675,632.2597885,336.7848904,135
120.7424142,31.37267789,2424.206751,4,2,118.31,2,1,2,11,3,2761.775475,1318.800245,2424.206751,339
120.6258653,31.14373298,5760.394335,4,2,139.65,2,3,2,11,1,1559.342877,924.6054763,1062.400715,400
120.7608732,31.32488342,1717.308292,3,2,127.23,2,1,2,11,1,1063.256311,318.4636109,1065.268333,364
120.4160735,31.35285927,2578.28246,3,1,110.35,2,1,1,26,0,303.5340679,11064.33137,1231.304394,315
120.6220337,31.19035229,1983.075676,3,2,94.64,2,1,2,32,1,3055.650064,1959.854738,3314.871713,270
120.7699134,31.31279442,1997.885218,2,2,88.06,2,1,2,18,1,551.6511794,1386.140577,1356.775427,251
120.7558741,31.37641342,2579.846415,3,2,87.12,2,1,3,18,1,4100.867522,1768.30091,2579.846415,248
120.9673793,31.37948173,1714.038731,3,2,88.54,2,3,2,18,0,616.8854173,1158.351537,331.8642736,252
120.7747643,31.304628,2641.101061,4,2,140.73,2,1,1,31,1,1552.054001,1973.214862,2182.383106,399
120.5843365,31.27758818,595.0566693,3,2,97.13,2,1,2,22,1,2531.147926,321.9005859,1651.507805,275
120.7387277,31.30718605,813.1104313,3,2,105.76,2,1,3,11,3,2764.489067,1156.225279,813.1104313,299
120.6182673,31.32378487,176.3025506,2,2,124.06,2,1,1,2,0,956.9197076,907.0297812,630.347555,350
120.6012137,31.26804184,2194.683124,4,2,134.82,2,1,3,32,1,1605.589843,652.9952512,656.5144677,380
120.6238979,31.36417122,1653.425045,3,2,102.3,2,3,1,5,3,1838.194396,1031.119365,1267.603431,288
120.5644911,31.2887127,763.8824522,2,1,78.35,2,1,2,11,1,637.5868795,1429.513176,1675.704324,220
120.9662801,31.38677244,2060.566637,3,1,67.15,2,1,1,6,1,257.8754511,399.3191951,516.7920924,188
120.747263,31.30015084,461.4275314,3,2,125.85,2,2,1,18,3,2515.190095,582.264375,461.4275314,350
120.9806784,31.46669871,530.5706375,4,2,136.95,2,3,1,3,0,658.5073018,4208.372639,495.295075,380
120.9681809,31.38472745,1952.414913,2,1,56.02,2,2,2,5,1,439.1500209,688.3725532,259.0403564,155
120.9159457,31.40705053,2377.442353,3,2,130.41,2,3,3,16,1,2594.039819,1753.207219,966.4476856,360
120.7630349,31.33931236,3187.343862,2,1,83,2,1,3,11,3,2572.493553,0,2653.272381,229
120.7558741,31.37641342,2579.846415,3,2,76.15,2,1,2,6,1,4100.867522,1768.30091,2579.846415,210
120.9245955,31.39034417,3802.393119,3,2,140.96,2,1,3,11,1,2400.317445,628.8003547,926.8625608,388
120.92102,31.39112282,4119.872656,3,2,86.82,2,1,1,32,1,2072.879393,689.7595488,959.1461215,238
120.6497698,31.26411784,924.0646067,4,2,160.28,2,1,1,3,1,1218.122145,965.6699285,2219.133643,439
120.9057439,31.39003754,3931.87555,3,2,120.01,2,2,3,32,1,626.3299548,351.8904883,629.8748138,328
120.7554876,31.27996867,1517.84125,3,1,104.33,2,3,3,20,1,4156.880832,907.7635649,1517.84125,285
120.7630349,31.33931236,3187.343862,3,2,98.13,2,1,2,23,3,2572.493553,0,2653.272381,268
120.62234,31.19060553,2011.309749,4,2,139.18,2,3,3,31,1,3052.701638,1989.260003,3325.697579,380
120.6492609,31.33214401,1079.769555,3,2,102.22,2,3,2,17,1,1683.983105,1883.552276,977.7474755,279
120.7375886,31.38228004,2652.504287,3,2,124.67,2,1,2,8,1,2785.043365,2475.490461,2652.504287,340
120.6385588,31.29508172,621.2160612,2,2,97.18,2,1,2,4,1,745.2530909,430.7142681,391.6554697,265
120.5832576,31.32001955,592.4659348,2,2,91.79,2,1,1,5,3,1537.281955,1356.755831,343.9996404,250
120.6734387,31.2954402,1062.066588,3,2,110.15,2,1,1,5,1,323.4741454,411.986606,418.6944076,300
120.9673793,31.37948173,1714.038731,4,2,142.63,2,3,2,24,3,616.8854173,1158.351537,331.8642736,388
120.7722922,31.33746697,3317.13691,3,2,120.25,2,1,3,27,3,2433.201706,902.8211855,2818.260152,327
120.5924122,31.30356407,933.1675894,3,2,114.15,2,1,3,17,1,0,0,0,310
120.7570026,31.31889981,989.3806119,2,1,99.54,2,1,3,33,1,884.564585,509.5283324,312.3017742,270
120.7699134,31.31279442,1997.885218,2,1,98.48,2,1,3,33,1,551.6511794,1386.140577,1356.775427,267
120.9002167,31.3853292,4453.697454,4,2,143.87,2,3,2,27,4,358.8675937,421.952978,603.8502732,390
120.7464908,31.38185623,3257.650046,3,2,88.19,2,1,2,12,1,3479.103566,2289.424498,3257.650046,239
120.6150678,31.27847116,595.1477882,3,1,91.79,2,1,3,26,1,211.4793075,75.218225,228.6063911,248
120.5689559,31.32224642,1553.838454,3,2,88.46,2,1,2,23,1,1729.87454,724.1397697,253.9694,239
121.10436,31.30991589,2613.64212,4,2,115.86,2,1,2,6,3,1296.011033,996.2426193,1066.840001,313
120.7558741,31.37641342,2579.846415,3,2,83.8,2,1,2,18,1,4100.867522,1768.30091,2579.846415,226
120.539882,31.37772091,1212.071939,4,1,127.97,2,1,1,10,3,6758.743994,778.6392464,969.8679309,345
120.7507397,31.37932712,3160.163662,2,2,77.9,2,1,2,10,1,3732.527343,2053.635792,3160.163662,210
121.0371425,31.41241265,1564.102877,3,1,103.19,2,1,2,5,1,2266.48617,2634.24939,1800.652978,278
120.7570026,31.31889981,989.3806119,2,2,99.54,2,1,3,33,1,884.564585,509.5283324,312.3017742,268
120.6492609,31.33214401,1079.769555,4,2,130.34,2,1,2,16,1,1683.983105,1883.552276,977.7474755,349.8
120.6176467,31.35843297,1665.194324,3,1,101,2,1,1,20,1,2182.47215,1140.171867,1277.709498,270
120.6060723,31.39828524,2020.694086,3,1,105.05,2,1,3,24,3,1777.370384,204.8547518,3088.512662,280
120.6220337,31.19035229,1983.075676,4,2,142.67,2,1,2,32,1,3055.650064,1959.854738,3314.871713,380
120.7247882,31.37365208,1148.696997,3,1,88.89,1,1,2,11,1,1238.623057,1629.27503,1148.696997,235
120.5679239,31.31429747,1565.929881,3,2,98.11,2,1,2,6,1,1605.050504,758.0735196,683.7809536,259
120.6111703,31.38306916,2769.363552,4,2,124.26,2,1,3,18,1,1866.972755,513.2277344,1537.410336,328
120.6492609,31.33214401,1079.769555,3,2,107.99,2,1,2,16,3,1683.983105,1883.552276,977.7474755,285
